"id","name","permalink","yarn_attributes_created_at","yarn_attributes_description","yarn_attributes_id","yarn_attributes_name","yarn_attributes_permalink","yarn_attributes_sort_order","yarn_attributes_yarn_attribute_group_id"
8,"Care","care","2016/05/27 15:07:32 -0400","lay flat to dry",76,"Dry Flat","dry-flat",5,8
8,"Care","care","2016/05/27 15:07:32 -0400","wash by hand",4,"Hand Wash","hand-wash",4,8
8,"Care","care","2016/05/27 15:07:32 -0400","wash by hand in cold water",5,"Hand Wash Cold","hand-wash-cold",5,8
8,"Care","care","2016/05/27 15:07:31 -0400","yarn may be dried in a drying machine",3,"Machine Dry","machine-dry",3,8
8,"Care","care","2016/05/27 15:07:31 -0400","yarn may be washed in a washing machine",2,"Machine Wash","machine-wash",2,8
8,"Care","care","2016/05/27 15:07:31 -0400","yarn has been treated and may be washed in a washing machine",1,"Superwash","superwash",1,8
12,"Color","color","2016/05/27 15:07:33 -0400","two or more contrasting singles plied together",19,"Barber pole","barber-pole",1,12
12,"Color","color","2016/05/27 15:07:33 -0400","dyed in long color sections that gradually blend into each other",20,"Gradient","gradient",2,12
12,"Color","color","2016/05/27 15:07:34 -0400","a subtly flecked color effect achieved by blending together many different shades of fiber before spinning",21,"Heathered","heathered",3,12
12,"Color","color","2016/05/27 15:07:34 -0400","made up of two or more plies of different colors twisted together",22,"Marled","marled",4,12
12,"Color","color","2016/05/27 15:07:34 -0400","made up of multiple unplied strands of thin yarns in different solid colors",23,"Multi-strand unplied","multi-strand-unplied",5,12
12,"Color","color","2016/05/27 15:07:34 -0400","dyed in manner designed to create specific patterns (often imitating those seenin fair-isle knitting), most frequently when making items with a small width or circumference",25,"Self-patterning","self-patterning",6,12
12,"Color","color","2016/05/27 15:07:34 -0400","dyed in manner designed to create stripes, most frequently when making items with a small width or circumference",24,"Self-striping","self-striping",7,12
12,"Color","color","2016/05/27 15:07:35 -0400","dyed in a single hue with slight variation",26,"Semi-solid","semi-solid",8,12
12,"Color","color","2016/05/27 15:07:35 -0400","dyed in a single hue with no variation",78,"Solid color","solid",9,12
12,"Color","color","2016/05/27 15:07:35 -0400","dye method that results in tiny flecks of multiple colorsNULL",27,"Speckled","speckled",10,12
12,"Color","color","2016/05/27 15:07:33 -0400","incorporates different tones (shades or tints) of the same hue",82,"Tonal","tonal",11,12
12,"Color","color","2016/05/27 15:07:35 -0400","yarn containing contrasting flecks of color or neps, usually consisting of small pieces of fiber, on a solid background",28,"Tweed","tweed",12,12
12,"Color","color","2016/05/27 15:07:35 -0400","yarn dyed with more than one color",29,"Variegated","variegated",13,12
